train_loss,val_loss,train_auc,val_auc,train_f1,val_f1,train_accuracy,val_accuracy,test_loss,test_auc,test_f1,test_accuracy,task,backbone,pretrain,clf,fold,structure,lr,batchsize,dropprob,fcsizeratio,numfilters,kernelsize,epochs,imagesize,lrdecay,lrbeta
0.2113696278310289,0.3343525000062643,0.9801681277438477,0.9645328719723184,0.9424206815511164,0.926829268292683,0.9359477124183008,0.9215686274509804,0.2451308508521144,0.971647509578544,0.9107142857142856,0.9029126213592232,acl,ResNet50,RadImageNet,ConvSkip,full,unfreezetop5,0.0001,64,0.5,1.0,16,2,10,256,cosine,0.5
0.6099582922224905,0.5865054744131425,0.9299894747046684,0.960553633217993,0.8611435239206534,0.8817204301075269,0.8444444444444444,0.8562091503267973,0.6540222202689903,0.9409961685823756,0.875,0.8446601941747572,acl,ResNet50,RadImageNet,ConvSkip,full,unfreezetop1,0.0001,64,0.5,1.0,16,2,10,256,cosine,0.5
0.446269294794868,0.4671300507448857,0.9452269170579032,0.9430795847750864,0.8932714617169374,0.8674698795180723,0.8797385620915033,0.8562091503267973,0.4798620198536845,0.9348659003831415,0.8518518518518519,0.8446601941747572,acl,ResNet50,RadImageNet,ConvSkip,full,freezeall,0.0001,64,0.5,1.0,16,2,10,256,cosine,0.5
0.5744089548494301,0.304741751524358,0.9433088204744692,0.9624567474048444,0.8764845605700713,0.8914285714285715,0.8640522875816994,0.8758169934640523,0.4103886490886651,0.9471264367816092,0.8909090909090909,0.883495145631068,acl,ResNet50,RadImageNet,ConvSkip,full,unfreezetop7,0.0001,64,0.5,1.0,16,2,10,256,cosine,0.5
0.3414601417538387,0.5842225543813768,0.9636357970833852,0.9588235294117649,0.9039812646370023,0.8987341772151899,0.8928104575163399,0.8954248366013072,0.6533460987424388,0.957088122605364,0.8431372549019608,0.8446601941747572,acl,ResNet50,RadImageNet,ConvSkip,full,unfreezetop9,0.0001,64,0.5,1.0,16,2,10,256,cosine,0.5
0.3155693269633,1.190252578726002,0.9678216793385684,0.9704152249134947,0.9250585480093676,0.75,0.9163398692810456,0.7777777777777778,1.258857312711697,0.9674329501915708,0.7111111111111111,0.7475728155339806,acl,ResNet50,RadImageNet,ConvSkip,full,unfreezetop3,0.0001,64,0.5,1.0,16,2,10,256,cosine,0.5
1.055241151039417,1.127751072247823,0.8775827824385616,0.8953488372093023,0.6666666666666666,0.625,0.8222222222222222,0.8461538461538461,1.8740184551630263,0.7786131996658313,0.5555555555555556,0.7948717948717948,breast,ResNet50,ImageNet,ConvSkip,full,unfreezetop1,0.0001,64,0.5,1.0,16,2,10,256,cosine,0.5
0.8027917967902289,0.8390719462663699,0.9468917677052144,0.9309827456864216,0.8379204892966361,0.7457627118644068,0.9094017094017094,0.8717948717948718,0.7593563703390268,0.9264828738512948,0.8108108108108109,0.9102564102564102,breast,ResNet50,ImageNet,ConvSkip,full,unfreezetop5,0.0001,64,0.5,1.0,16,2,10,256,cosine,0.5
0.7774306148545355,1.039365630883437,0.9234577416772892,0.8672168042010503,0.7152317880794702,0.6567164179104478,0.852991452991453,0.8034188034188035,0.9188707791841948,0.8504594820384295,0.6818181818181818,0.8205128205128205,breast,ResNet50,ImageNet,ConvSkip,full,freezeall,0.0001,64,0.5,1.0,16,2,10,256,cosine,0.5
0.3776046355565389,1.5455431550995915,0.977648000474313,0.9163540885221304,0.8832807570977917,0.6909090909090909,0.9367521367521368,0.8547008547008547,1.4864470958709717,0.8922305764411027,0.7368421052631579,0.8717948717948718,breast,ResNet50,ImageNet,ConvSkip,full,unfreezetop9,0.0001,64,0.5,1.0,16,2,10,256,cosine,0.5
0.2617105775409274,1.2882258688282764,0.9753209023804582,0.8825956489122281,0.864516129032258,0.7586206896551724,0.9282051282051282,0.8803418803418803,1.2567900938865466,0.8613199665831245,0.6470588235294118,0.8461538461538461,breast,ResNet50,ImageNet,ConvSkip,full,unfreezetop3,0.0001,64,0.5,1.0,16,2,10,256,cosine,0.5
0.8259618693946773,2.2970410575214615,0.939080425695906,0.9268567141785446,0.7533333333333333,0.7037037037037037,0.8735042735042735,0.8632478632478633,2.097003617347815,0.9197994987468672,0.7222222222222222,0.8717948717948718,breast,ResNet50,ImageNet,ConvSkip,full,unfreezetop7,0.0001,64,0.5,1.0,16,2,10,256,cosine,0.5
